grant_id,full_name,faculty_id,faculty_name,match_score,proposed_is_copi
331294,Cristina Nita-Rotaru,1675635,"NITA-ROTARU, CRISTINA",100.0,True
331375,Edmund Yeh,1134983,"YEH, EDMUND",100.0,False
331386,Kevin Fu,1538316,"FU, KEVIN",100.0,False
334040,Carla Brodley,1797506,"BRODLEY, CARLA ELIZABETH",100.0,False
337882,Geoffrey Trussell,141448,"TRUSSELL, GEOFFREY C",100.0,False
339725,Jonathan Grabowski,1131437,"GRABOWSKI, JONATHAN HENRY",100.0,True
348032,David Budil,141160,"BUDIL, DAVID E",100.0,False
348032,Mary Jo Ondrechen,141740,"ONDRECHEN, MARY JO",100.0,True
348032,Sanjeev Mukerjee,141960,"MUKERJEE, SANJEEV",100.0,True
348068,Kai-tak Wan,401600,"WAN, KAI-TAK",100.0,True
351758,Phil Brown,1988111,"BROWN, PHIL",100.0,True
353540,Matthew Goodwin,1134620,"GOODWIN, MATTHEW S",100.0,False
355985,Rupal Patel,141211,"PATEL, RUPAL",100.0,False
356029,Octavia Camps,926134,"CAMPS, OCTAVIA",100.0,False
356029,Mario Sznaier,926130,"SZNAIER, MARIO",100.0,True
356838,Guevara Noubir,148184,"NOUBIR, GUEVARA",100.0,False
357087,James C Benneyan,130033,"BENNEYAN, JAMES C",100.0,True
361844,Christos Zahopoulos,141179,"ZAHOPOULOS, CHRISTOS",100.0,False
361844,Mohamad Metghalchi,141505,"METGHALCHI, MOHAMAD",100.0,True
361844,Claire J Duggan,141388,"DUGGAN, CLAIRE",100.0,True
361844,Yiannis A Levendis,141149,"LEVENDIS, YIANNIS A",100.0,True
367319,Maxim Braverman,141127,"BRAVERMAN, MAXIM",100.0,False
373481,Hai-Ping Cheng,2878915,"CHENG, HAI-PING",100.0,True
373482,Brent Nelson,933419,"NELSON, BRENT",100.0,False
374357,Sara Wadia-Fascetti,141701,"WADIA-FASCETTI, SARA J",100.0,False
374357,Carey M Rappaport,141496,"RAPPAPORT, CAREY M",100.0,True
374357,Dionisio Bernal,141519,"BERNAL, DIONISIO",100.0,True
374521,Sagar Kamarthi,141459,"KAMARTHI, SAGAR V",100.0,False
374521,Ibrahim Zeid,148841,"ZEID, IBRAHIM",100.0,True
374542,Rebecca Carrier,148071,"CARRIER, REBECCA LYN",100.0,False
374634,Geoffrey Trussell,141448,"TRUSSELL, GEOFFREY C",100.0,False
374693,Rebecca Carrier,148071,"CARRIER, REBECCA LYN",100.0,False
374693,Rebecca L Carrier,148071,"CARRIER, REBECCA LYN",94.44444444444444,True
375328,Hongwei Sun,1018793,"SUN, HONGWEI",100.0,True
376617,Latika Menon,957973,"MENON, LATIKA",100.0,False
376696,Stefano Basagni,144655,"BASAGNI, STEFANO",100.0,False
377395,Stefano Basagni,144655,"BASAGNI, STEFANO",100.0,False
377605,Michael Silevitch,144147,"SILEVITCH, MICHAEL B",100.0,False
377605,Claire J Duggan,141388,"DUGGAN, CLAIRE",100.0,True
377829,Celia Pearce,1799507,"PEARCE, CELIA",100.0,False
378621,Mirek Riedewald,62652,"RIEDEWALD, MIREK",100.0,False
379450,Olin Shivers,933475,"SHIVERS, OLIN",100.0,False
379469,Kai-tak Wan,401600,"WAN, KAI-TAK",100.0,False
381701,David Madigan,1538692,"MADIGAN, DAVID BENNETT",100.0,False
386466,Albert-Laszlo Barabasi,404727,"BARABASI, ALBERT-LASZLO",100.0,False
1008724,Rebecca Carrier,148071,"CARRIER, REBECCA LYN",100.0,False
1008724,Rebecca L Carrier,148071,"CARRIER, REBECCA LYN",94.44444444444444,True
1279175,Milica Stojanovic,938959,"STOJANOVIC, MILICA",100.0,False
317092,Stephen Intille,541359,"INTILLE, STEPHEN S",100.0,False
321226,David Kaeli,148296,"KAELI, DAVID R",100.0,False
331396,Herbert Levine,1383874,"LEVINE, HERBERT",100.0,True
376295,Rebecca L Carrier,148071,"CARRIER, REBECCA LYN",94.44444444444444,True
377866,Mark Williams,141540,"WILLIAMS, MARK C",100.0,False
377911,Paul Champion,141547,"CHAMPION, PAUL M",100.0,False
377911,J Timothy T Sage,141634,"SAGE, J TIMOTHY",100.0,True
379236,Rebecca Willits,1519332,"WILLITS, REBECCA KUNTZ",100.0,False
379241,Yiannis Levendis,141149,"LEVENDIS, YIANNIS A",100.0,False
379555,Darien Wood,141790,"WOOD, DARIEN",100.0,False
379555,Emanuela Barberis,141968,"BARBERIS, EMANUELA",100.0,True
379556,Celia Pearce,1799507,"PEARCE, CELIA",100.0,True
379652,Pran Nath,141760,"NATH, PRAN",100.0,False
