grant_id,project_num,core_project_num,profile_id,full_name,is_contact_pi,org_name,is_neu_org,rank_order
131973,1R21AR053551-01,R21AR053551,7010344,Jeffrey W Ruberti,True,NORTHEASTERN UNIVERSITY,True,0
131975,1R21AT002788-01A1,R21AT002788,2063224,Michail  Sitkovsky,True,NORTHEASTERN UNIVERSITY,True,0
210102,1R01CA116590-01A1,R01CA116590,7688935,TATIANA K BRONICH,True,UNIVERSITY OF NEBRASKA MEDICAL CENTER,False,0
211511,5K08DK064603-02,K08DK064603,8774201,HOOMAN  NOORCHASHM,True,UNIVERSITY OF PENNSYLVANIA,False,0
255226,1F32HL083593-01,F32HL083593,6194541,Marsha W ROLLE,True,BENAROYA RESEARCH INST AT VIRGINIA MASON,False,0
274907,1R01AG030311-01,R01AG030311,2201948,Lisa Feldman Barrett,True,MASSACHUSETTS GENERAL HOSPITAL,False,0
285505,7R37AG012279-19,R37AG012279,1894965,Jonathan Lee Tilly,True,NORTHEASTERN UNIVERSITY,True,0
1002065,1R21MH076740-01,R21MH076740,1890648,Alisa K. Lincoln,True,BOSTON UNIVERSITY MEDICAL CAMPUS,False,0
1181727,5P41RR000862-33,P41RR000862,6274976,Alexandros  Makriyannis,True,ROCKEFELLER UNIVERSITY,False,0
1195240,5P20RR016480-06,P20RR016480,6277680,JOHN R ENGEN,True,NEW MEXICO STATE UNIVERSITY LAS CRUCES,False,0
1220092,5P41RR010888-10,P41RR010888,8168130,CAROLYN W T LEE-PARSONS,True,BOSTON UNIVERSITY MEDICAL CAMPUS,False,0
1235948,5P41RR008630-11,P41RR008630,1932843,LEE  MAKOWSKI,True,ILLINOIS INSTITUTE OF TECHNOLOGY,False,0
107971,1K01HD053172-01A1,K01HD053172,7553181,BETH Ellen MOLNAR,True,HARVARD UNIVERSITY D/B/A HARVARD SCHOOL OF PUBLIC HEALTH,False,0
109103,1R21DA022600-01,R21DA022600,7914271,Matthew J Miller,True,HARVARD UNIVERSITY D/B/A HARVARD SCHOOL OF PUBLIC HEALTH,False,0
111663,1R21DA024259-01,R21DA024259,6869311,KATY  BORNER,False,TRUSTEES OF INDIANA UNIVERSITY,False,0
111663,1R21DA024259-01,R21DA024259,1894746,STEVEN J SHERMAN,False,TRUSTEES OF INDIANA UNIVERSITY,False,1
111663,1R21DA024259-01,R21DA024259,8900222,Alessandro  Vespignani,True,TRUSTEES OF INDIANA UNIVERSITY,False,2
118115,1R24HL085343-01A1,R24HL085343,1865780,RAIMOND Lester WINSLOW,True,JOHNS HOPKINS UNIVERSITY,False,0
118150,1R33HL087345-01A1,R33HL087345,1865780,RAIMOND Lester WINSLOW,True,JOHNS HOPKINS UNIVERSITY,False,0
118490,3U01HL091737-01S2,U01HL091737,7667301,STEPHEN S INTILLE,True,MASSACHUSETTS INSTITUTE OF TECHNOLOGY,False,0
119546,1T15HL088964-01,T15HL088964,1865780,RAIMOND Lester WINSLOW,True,JOHNS HOPKINS UNIVERSITY,False,0
131965,1R13EB008339-01,R13EB008339,1881249,Vladimir P Torchilin,True,NORTHEASTERN UNIVERSITY,True,0
131971,1R21AI070736-01A1,R21AI070736,2419436,Kim  Lewis,True,NORTHEASTERN UNIVERSITY,True,0
131980,1R21DE018026-01A1,R21DE018026,8571552,Slava Simon Epstein,True,NORTHEASTERN UNIVERSITY,True,0
131982,1R21EB007317-01,R21EB007317,7010344,Jeffrey W Ruberti,True,NORTHEASTERN UNIVERSITY,True,0
131986,1R21LM008995-01A2,R21LM008995,7854251,TIMOTHY W. BICKMORE,True,NORTHEASTERN UNIVERSITY,True,0
131991,3R37DA023142-01S1,R37DA023142,6274976,Alexandros  Makriyannis,True,NORTHEASTERN UNIVERSITY,True,0
188734,1R01DA023928-01,R01DA023928,1897870,Raymond G. Booth,True,UNIVERSITY OF FLORIDA,False,0
198317,1F31EB005073-01A2,F31EB005073,8083867,Christopher James Hasson,True,UNIVERSITY OF MASSACHUSETTS AMHERST,False,0
272179,7R01CA124490-06,R01CA124490,1950357,CHANGYAN  CHEN,True,NORTHEASTERN UNIVERSITY,True,0
291171,1R03HG004034-01A1,R03HG004034,8621541,JONATHAN  KAHN,True,HAMLINE UNIVERSITY,False,0
292359,1R41CA117187-01A2,R41CA117187,3132126,CHARLES A DIMARZIO,True,"LUCID, INC.",False,0
1117186,1P01GM078586-01A1,P01GM078586,8466638,WOUTER-JAN  RAPPEL,True,"UNIVERSITY OF CALIFORNIA, SAN DIEGO",False,0
1181728,2P41RR000862-34,P41RR000862,6274976,Alexandros  Makriyannis,True,ROCKEFELLER UNIVERSITY,False,0
1235947,2P41RR008630-12,P41RR008630,1932843,LEE  MAKOWSKI,True,ILLINOIS INSTITUTE OF TECHNOLOGY,False,0
1238432,5P41RR005959-18,P41RR005959,1865780,RAIMOND Lester WINSLOW,True,DUKE UNIVERSITY,False,0
111632,1R01RR024236-01A1,R01RR024236,8702983,Predrag  Radivojac,True,TRUSTEES OF INDIANA UNIVERSITY,False,0
119544,1S10RR025053-01,S10RR025053,1865780,RAIMOND Lester WINSLOW,True,JOHNS HOPKINS UNIVERSITY,False,0
131885,1R01CA128486-01A2,R01CA128486,1881249,Vladimir P Torchilin,True,NORTHEASTERN UNIVERSITY,True,0
131912,1R01DK080477-01,R01DK080477,1966327,Mansoor M. Amiji,True,NORTHEASTERN UNIVERSITY,True,0
131921,1R01ES016205-01,R01ES016205,8861454,Thomas Clair Sheahan,True,NORTHEASTERN UNIVERSITY,True,0
131943,1R01GM085077-01,R01GM085077,8876531,Erin Jean Cram,True,NORTHEASTERN UNIVERSITY,True,0
131955,1R01NS063494-01,R01NS063494,7598941,ARMEN  STEPANYANTS,True,NORTHEASTERN UNIVERSITY,True,0
181769,7R01GM085648-04,R01GM085648,1932843,LEE  MAKOWSKI,True,NORTHEASTERN UNIVERSITY,True,0
185078,7R01MH081193-06,R01MH081193,1897870,Raymond G. Booth,True,NORTHEASTERN UNIVERSITY,True,0
191192,1R01HD055352-01A2,R01HD055352,6062879,CHARLES H HILLMAN,True,UNIVERSITY OF ILLINOIS AT URBANA-CHAMPAIGN,False,0
217155,1R03DK080286-01,R03DK080286,8774201,HOOMAN  NOORCHASHM,True,UNIVERSITY OF PENNSYLVANIA,False,0
289302,1R03DA025816-01,R03DA025816,8925462,Heather C Brenhouse,True,MCLEAN HOSPITAL,False,0
